id, Date,Type,From,To,FromSUM,FromCurrency,ToSUM,ToCurrency,Сomment
193,15.11.2021,Transfer,Cash,На столовую ,250,RUB,250,RUB,
194,20.11.2021,Transfer,Сбер ₽,Cash,133,RUB,133,RUB,
195,20.11.2021,Income,Родственники,Cash,17,RUB,17,RUB,
196,23.11.2021,Income,Родственники,Сбер ₽,500,RUB,500,RUB,
197,24.11.2021,Expenses,Сбер ₽,Донаат,53,RUB,53,RUB,
198,25.11.2021,Income,Каким-то образом,Сбер ₽,395,RUB,395,RUB,
199,26.11.2021,Transfer,Сбер ₽,Cash,100,RUB,100,RUB,
200,29.11.2021,Expenses,На столовую ,Шкила,100,RUB,100,RUB,
201,29.11.2021,Expenses,На столовую ,Столовая,20,RUB,20,RUB,
202,29.11.2021,Expenses,Сбер ₽,Донаат,47,RUB,47,RUB,
203,30.11.2021,Transfer,Сбер ₽,Cash,100,RUB,100,RUB,Давид
204,01.12.2021,Transfer,Сбер ₽,Cash,100,RUB,100,RUB,
205,01.12.2021,Expenses,На столовую ,Столовая,5,RUB,5,RUB,
206,01.12.2021,Transfer,Cash,Копилка,95,RUB,95,RUB,
207,02.12.2021,Transfer,На столовую ,Илье. Задача со столовой,30,RUB,30,RUB,
208,02.12.2021,Expenses,На столовую ,Столовая,25,RUB,25,RUB,
209,02.12.2021,Transfer,Cash,Копилка,5,RUB,5,RUB,
210,03.12.2021,Transfer,Сбер ₽,Cash,150,RUB,150,RUB,
211,03.12.2021,Income,Мама,На столовую ,100,RUB,100,RUB,
212,04.12.2021,Transfer,На столовую ,Cash,50,RUB,50,RUB,
213,06.12.2021,Expenses,На столовую ,Столовая,25,RUB,25,RUB,
214,06.12.2021,Transfer,На столовую ,Илье. Задача со столовой,25,RUB,25,RUB,
215,06.12.2021,Transfer,Сбер ₽,Cash,500,RUB,500,RUB,
216,07.12.2021,Expenses,На столовую ,Столовая,20,RUB,20,RUB,
217,09.12.2021,Income,Мама,На столовую ,100,RUB,100,RUB,
218,09.12.2021,Expenses,На столовую ,Столовая,40,RUB,40,RUB,
219,13.12.2021,Income,Мама,На столовую ,250,RUB,250,RUB,
220,13.12.2021,Expenses,На столовую ,Столовая,50,RUB,50,RUB,
221,13.12.2021,Transfer,На столовую ,Cash,60,RUB,60,RUB,
222,13.12.2021,Transfer,Cash,Копилка,60,RUB,60,RUB,
223,13.12.2021,Transfer,На столовую ,Cash,50,RUB,50,RUB,
224,13.12.2021,Income,Родственники,Cash,500,RUB,500,RUB,
225,14.12.2021,Income,Каким-то образом,На столовую ,15,RUB,15,RUB,
226,14.12.2021,Transfer,На столовую ,Cash,15,RUB,15,RUB,
227,14.12.2021,Transfer,Cash,Копилка,15,RUB,15,RUB,
228,14.12.2021,Transfer,На столовую ,Cash,50,RUB,50,RUB,
229,14.12.2021,Income,Родственники,Cash,200,RUB,200,RUB,
230,15.12.2021,Income,Каким-то образом,На столовую ,20,RUB,20,RUB,
231,15.12.2021,Income,Мама,Cash,500,RUB,500,RUB,
232,16.12.2021,Expenses,На столовую ,Столовая,20,RUB,20,RUB,
